PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	population	color	euro
TCGA-G2-A2EF	0.0083	0.0047	0.0014	0.0053	-8e-04	-0.005	3e-04	0.0117	0.0016	0.0124	TCGA	#BEBEBE80	TRUE
TCGA-G2-A2EJ	0.0078	0.0054	0.0017	0.0044	0.0033	-0.0044	6e-04	0.0113	0.0021	0.0016	TCGA	#BEBEBE80	TRUE
TCGA-G2-A2EK	0.0076	0.0057	0.0042	0.0041	2e-04	-0.0022	-6e-04	0.0114	-0.0028	0.0037	TCGA	#BEBEBE80	TRUE
TCGA-G2-A2EL	0.008	0.0043	0.0026	0.007	-0.0029	-0.0054	-0.0029	0.0073	-0.0081	0.0032	TCGA	#BEBEBE80	TRUE
TCGA-G2-A3IE	0.0077	0.0047	0.0022	0.0047	0.0018	2e-04	0.0011	0.0104	9e-04	0.0078	TCGA	#BEBEBE80	TRUE
TCGA-G2-AA3B	0.0072	0.0045	9e-04	0.005	-7e-04	-0.002	-0.0029	0.0054	0.0026	0.002	TCGA	#BEBEBE80	TRUE
TCGA-G2-AA3C	0.0074	0.0043	0.003	0.0057	-0.0022	-0.0062	0.0021	0.0091	-0.0039	0.0076	TCGA	#BEBEBE80	TRUE
TCGA-G2-AA3D	0.0075	0.0055	0.003	0.0058	0.0032	-9e-04	0.003	0.0083	-2e-04	0.0022	TCGA	#BEBEBE80	TRUE
TCGA-G2-AA3F	0.0077	0.0052	0.0031	0.006	3e-04	-0.0045	-0.0021	0.0074	0.0011	0.0049	TCGA	#BEBEBE80	TRUE
TCGA-GC-A3BM	0.0078	0.0049	0.0037	0.0069	8e-04	-0.0039	8e-04	0.0094	0.0024	0.0076	TCGA	#BEBEBE80	TRUE
TCGA-GC-A3I6	0.0085	0.0054	0.0015	0.0071	0.0038	-0.0051	0.0019	0.0093	-0.0032	0.0066	TCGA	#BEBEBE80	TRUE
TCGA-GC-A3OO	0.0083	0.005	0.0013	0.0076	-0.0011	-3e-04	-5e-04	0.0071	-0.0024	0.0011	TCGA	#BEBEBE80	TRUE
TCGA-GC-A3RB	0.0081	0.0043	0.0028	0.0066	-0.0013	-0.0086	-0.0014	0.006	-0.0016	0.0032	TCGA	#BEBEBE80	TRUE
TCGA-GC-A3RD	0.0077	0.005	0.0019	0.0055	-9e-04	-0.0034	-0.003	0.01	0.0022	0.0043	TCGA	#BEBEBE80	TRUE
TCGA-GC-A3WC	0.0076	0.0045	0.0016	0.006	0.0028	-0.0039	-0.0031	0.0106	-0.001	0.0088	TCGA	#BEBEBE80	TRUE
TCGA-GC-A3YS	0.008	0.0038	0	0.0057	-2e-04	-0.0049	0.0048	0.0077	5e-04	0.0088	TCGA	#BEBEBE80	TRUE
TCGA-GC-A6I1	0.0078	0.0048	0.0015	0.003	5e-04	9e-04	-3e-04	0.0079	-4e-04	-9e-04	TCGA	#BEBEBE80	TRUE
TCGA-GD-A2C5	0.0077	0.0051	4e-04	0.0045	0.0016	-0.0037	0.0012	0.0092	0.0022	0.0057	TCGA	#BEBEBE80	TRUE
TCGA-GD-A3OP	0.008	0.0046	0.0018	0.0045	0.0019	-0.0012	0.0023	0.0099	-7e-04	3e-04	TCGA	#BEBEBE80	TRUE
TCGA-GD-A3OQ	0.0079	0.0044	0.0016	0.0054	0.0021	-0.0031	0.0015	0.0123	-0.0027	0.0016	TCGA	#BEBEBE80	TRUE
TCGA-GD-A3OS	0.0073	0.004	0.0015	0.0072	-0.0012	-0.0018	5e-04	-0.0074	0.0031	-0.0038	TCGA	#BEBEBE80	TRUE
TCGA-GD-A6C6	0.008	0.0046	-3e-04	0.002	9e-04	-0.003	0.0021	-0.004	7e-04	-0.0026	TCGA	#BEBEBE80	TRUE
TCGA-GD-A76B	0.0082	0.0049	0.0022	0.0045	0.0033	-0.0043	-2e-04	0.0107	-0.001	0.0045	TCGA	#BEBEBE80	TRUE
TCGA-GU-A42P	0.0079	0.0051	-1e-04	0.0073	9e-04	-0.0044	-0.0016	0.0104	0.0042	0.0089	TCGA	#BEBEBE80	TRUE
